App Name;Website;IP;Registrar Name;Registrant Name;Registrant Organisation;Registrant Country;Creation Date;For Android;Available on Play Store;Tranco Ranking
Circle;meetcircle.com;23.227.38.65; GoDaddy Corporate Domains, LLC; Brandsight Privacy Customer 154801; ; US; 2013-05-02T23:14:50Z;Yes;No;155507
FlexiSpy;flexispy.com;172.67.68.133; Ascio Technologies, Inc; Not Disclosed; Not Disclosed; SC; 2006-01-18T03:20:39Z;Yes;No;264503
iMyPhone;imyfone.com;47.88.92.11; Alibaba Cloud Computing (Beijing) Co., Ltd.; ; ; ; 2015-05-13T03:29:40Z;Yes;https://play.google.com/store/apps/details?id=com.imyfone.assistant;23227
K7 Total Security ;k7computing.com;52.172.54.225; Register.com, Inc.; Jayaraman, Kesavardhanan; K7 Computing; IN; 1997-10-31T05:00:00Z;No;N/A;65852
Kaspersky Safe Kids;kaspersky.de;185.85.15.34;N/A; ; ; ; ;Yes;https://play.google.com/store/apps/details?id=com.kaspersky.safekids;83843
Key24;key24.app;104.21.69.19;Dynadot LLC.; ; ; ; ;Yes;No;N/A
Hoverwatch;hoverwatch.com;104.236.73.120; Amazon Registrar, Inc.; On behalf of hoverwatch.com owner; Identity Protection Service; GB; 2014-02-11T07:35:22Z;Yes;No;84407
Kid's Line t-mobile;t-mobile.com;45.60.171.103; Deutsche Telekom AG; REDACTED FOR PRIVACY; Deutsche Telekom AG; DE; 2000-01-13T13:46:53Z;No;N/A;107
Kids Place Parental Control;kiddoware.com;52.26.248.67; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2011-07-30T02:10:57Z;Yes;https://play.google.com/store/apps/details?id=com.kiddoware.kidsplace;514000
Kids Zone Parental Controls;N/A;IP not found;N/A;N/A; ; ; ;N/A;N/A;N/A
Kids360;kids360.app;178.154.225.26;GoDaddy.com, LLC; ; ; ; ;Yes;https://play.google.com/store/apps/details?id=app.kids360.parent&pcampaignid=web_share;20814
KidSafe;xmansour.github.io/KidSafe/;IP not found;N/A;N/A; ; ; ;Yes;No;N/A
KidsGuard Pro;clevguard.com;52.35.50.121; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2018-12-20T01:16:35Z;Yes;https://play.google.com/store/apps/details?id=com.clevguard.kidsguardpro.parent;48868
Kidslox ;kidslox.com;13.32.110.38; Amazon Registrar, Inc.; Fred Cox; Kidslox Inc; US; 2013-11-07T10:00:34Z;Yes;https://play.google.com/store/apps/details?id=com.kidslox.app;97445
iKeyMonitor;ikeymonitor.com;172.66.43.145; Squarespace Domains II LLC; REDACTED FOR PRIVACY; ; US; 2012-02-13T09:50:15Z;Yes;No;498000
Kroha;parental-control.net;116.203.4.110; Internet Invest, Ltd. dba Imena.ua; Whois privacy protection service; Internet Invest, Ltd. dba Imena.ua; UA; 2018-09-17T10:17:35Z;Yes;https://play.google.com/store/apps/details?id=ua.com.tim_berners.parental_control;N/A
Kurupira Web Filter ;kurupira.net;191.252.83.201; ENOM, INC.; REDACTED FOR PRIVACY; REDACTED FOR PRIVACY; BR; 2009-12-03T11:24:45.00Z;No;N/A;N/A
KuuKla Parental Control;kuukla.com;195.201.103.199; GoDaddy.com, LLC; ELIF CAKMAK; ARDIC ARGE BILGI VE TEKNOLOJI COZUMLERI, YAZILIM, BILGISAYAR SAN. VE TIC. A.S.; TR; 2014-01-07T11:35:02Z;Yes;https://play.google.com/store/apps/details?id=com.ardic.android.kuuklaparentalcontrol;N/A
LetMeSpy;letmespy.com;IP not found; TUCOWS, INC.; REDACTED FOR PRIVACY; REDACTED FOR PRIVACY; PL; 2013-04-20T07:28:07;Yes;No;N/A
Life360;life360.com;44.219.179.90; Amazon Registrar, Inc.; On behalf of life360.com owner; Identity Protection Service; GB; 2002-01-12T06:01:56Z;Yes;https://play.google.com/store/apps/details?id=com.life360.android.safetymapd;650
Lifecake app;lifecake.com;IP not found; CSC CORPORATE DOMAINS, INC.; Domain Administrator; Canon Europa N.V.; NL; 2006-09-01T09:20:25Z;N/A;N/A;N/A
Locategy;locategy.com;52.208.16.95; CSL Computer Service Langenbach GmbH d/b/a joker.com; ; TUSO TECHNOLOGIES S.L.; ES; 2014-12-30T14:38:06Z;Yes;https://play.google.com/store/apps/details?id=com.locategy.family;462355
Lr’n’Play;N/A;IP not found;N/A;N/A; ; ; ;N/A;N/A;N/A
MamaBear;mamabearapp.com;54.210.17.28; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2011-12-16T12:18:33Z;Yes;https://play.google.com/store/apps/details?id=com.geowaggle.mamabear&hl=en;N/A
McAfee Safe Family;family.mcafee.com;35.84.157.121; CSC CORPORATE DOMAINS, INC.; Host Master; McAfee LLC; US; 1992-08-05T00:00:00Z;Yes;https://play.google.com/store/apps/details?id=com.mcafee.security.safefamily;N/A
Microsoft Family Safety;microsoft.com;20.231.239.246; MarkMonitor, Inc.; Domain Administrator; Microsoft Corporation; US; 1991-05-02T04:00:00+0000;Yes;https://play.google.com/store/apps/details?id=com.microsoft.familysafety;3
mlite;mliteapp.com;188.114.97.10; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2016-11-11T07:59:48Z;Yes;https://play.google.com/store/apps/details?id=com.mspy.lite;N/A
MMGuardian;mmguardian.com;104.19.154.92; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2011-12-04T01:57:42Z;Yes;https://play.google.com/store/apps/details?id=com.mmguardian.parentapp;263229
